Models,BoW,TF-IDF,Word2Vec,GloVe,RoBERTa,BERTweet,USE,PreTrained
NB,0.6990777302174648,0.8240448350666858,0.4410527247314533,0.5374102729421878,0.55584507158569,0.6067913506605254,0.5838253276898966,N/A
LR,0.6961675961675962,0.6994262710309788,0.434280783181581,0.5519900131954927,0.727083247410839,0.7095951489936404,0.6168327888429177,N/A
KNN,0.6505574572641603,0.7296342141321666,0.4613475879242867,0.5953735201330937,0.6787208910038348,0.656540162928301,0.6209803761019678,N/A
MLP,0.5991706987559766,0.5542177399883226,0.37019496494099036,0.652998039761537,0.78372371200984,0.7597333237586801,0.7068003093613537,N/A
LSTM,N/A,N/A,0.5425747600160897,0.6879377793733644,N/A,N/A,N/A,N/A
XGBoost,0.7942054428524141,0.7815943354831112,0.5938670722153806,0.6997353279631761,0.8015425498579782,0.7221471651734884,0.6779232557155912,N/A
Ensemble,0.7304600780505822,0.7212856890089578,0.5471231551402335,0.6535988739936108,0.7943707335842887,0.7682574628095843,0.6963483890982053,N/A
RoBERTa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6087163768323188
BERTweet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5796148081813821
BERTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4937455566503026
